Model,Seed,Mean Pinball Loss (kWh),RMSE (kWh),MAE (kWh),R-squared,CV(RMSE) (%),PICP (%),MPIW (kWh),Training Time (s),Epochs,Final Val Loss
LSTM,42,0.5726214726423547,3.7505851145289264,2.1187790756151617,0.9849702213592115,16.87172993144752,86.69805768098881,7.567643165588379,239.04870295524597,70,0.004573164042085409
LSTM,43,0.6227460748680278,4.041974748213542,2.3522383336913224,0.9825441209127233,18.182524661929925,87.16892289582107,8.862395286560059,254.28477120399475,70,0.004945756867527962
LSTM,44,0.6431415555519387,4.157031530628418,2.4028025117381153,0.9815361964710339,18.70009909376065,84.9911712772219,8.59151840209961,219.07019114494324,58,0.0049013784155249596
LSTM,45,0.6206936584951377,3.9662786691882697,2.3100511716409344,0.9831918087249706,17.84201144514233,86.81577398469688,8.744707107543945,179.63851499557495,49,0.0047837416641414165
LSTM,46,0.6076014574291941,3.992747438984618,2.281122048792843,0.9829667228619022,17.961079249760793,87.63978811065333,8.329803466796875,199.7479009628296,54,0.004595831967890263
CNN-LSTM,42,0.5498119658102364,3.6037345060533146,2.0090598156742128,0.9861241336092592,16.211133322968617,90.05297233666863,9.414191246032715,204.65322303771973,56,0.004970252048224211
CNN-LSTM,43,0.5567477833821693,3.6592246409650393,2.054731154648438,0.9856935238036914,16.460751593585517,88.99352560329605,9.299554824829102,234.77028894424438,64,0.00483645498752594
CNN-LSTM,44,0.5448381538358562,3.6211837057821303,2.006057215364529,0.9859894350402683,16.289627258275946,90.34726309593879,9.058880805969238,332.2508409023285,74,0.004829891491681337
CNN-LSTM,45,0.598653470495173,4.07943906835148,2.198798733096456,0.9822190305995072,18.35105513707739,91.23013537374926,10.113801956176758,177.11385488510132,46,0.004969520960003138
CNN-LSTM,46,0.5570321632048647,3.800604133794507,2.043819354490056,0.9845666641965554,17.09673679270115,89.8175397292525,8.890108108520508,250.27166223526,67,0.0047454433515667915
Transformer,42,0.9480263389198025,5.685932730848252,3.5264787392699124,0.9654571658283713,25.577748141651917,96.40965273690406,19.571144104003906,365.85886812210083,30,0.010017355903983116
Transformer,43,0.7124359097865791,4.011763011011886,2.3850034012268195,0.9828040935953434,18.046619395081915,98.23425544437904,17.84905242919922,429.63986706733704,35,0.006835476029664278
Transformer,44,0.7087266192478214,4.349697968930371,2.628662657465514,0.9797850469683792,19.566794826459077,93.81989405532666,13.33240795135498,653.6219692230225,52,0.0073143066838383675
Transformer,45,0.9932714276142074,5.855839800703693,3.5645198515530665,0.9633619030681984,26.34206253754175,97.35138316656857,22.85822105407715,487.89828610420227,41,0.014590920880436897
Transformer,46,0.7009013758205491,4.168252722816442,2.6212507299640495,0.9814363822080241,18.750576797458624,92.87816362566215,13.049997329711914,472.19389486312866,38,0.007847015745937824
